id,title,frontText,backAnswer,fact,vocabulary,quizQuestion
animal_sheep_vi_3_5,Con cừu,"Con gì mặc áo len dày, Không sợ lạnh gió heo may. Sống trên đồng cỏ xanh mát, Kêu be be rất vui tai?",Con cừu,Cừu có bộ lông dày. Lông cừu có thể dùng để làm len may áo ấm.,cừu; len; đồng cỏ; ấm áp,Con nào cho ta lông để làm len?
animal_elephant_vi_3_5,Con voi,"Con gì tai lớn như quạt, Cái vòi dài thật là hay. Bước đi chậm rãi trong rừng, Thân to khỏe bé đoán ngay?",Con voi,"Voi là loài vật rất to lớn. Voi dùng vòi để uống nước, lấy thức ăn và chào nhau.",voi; vòi; tai; rừng,Voi dùng bộ phận nào để lấy thức ăn?
animal_cat_vi_3_5,Con mèo,"Con gì mắt sáng ban đêm, Rón rén đi nhẹ bên thềm. Thích ăn cá, kêu meo meo, Nằm cuộn tròn ngủ rất êm?",Con mèo,Mèo thường đi rất nhẹ. Mèo có ria giúp cảm nhận không gian xung quanh.,mèo; ria; meo meo; ban đêm,Mèo thường kêu như thế nào?
animal_dog_vi_3_5,Con chó,"Con gì giữ cửa rất ngoan, Thấy người quen vẫy đuôi mừng. Kêu gâu gâu vang trước ngõ, Bạn thân của bé phải không?",Con chó,Chó là vật nuôi thân thiết với con người. Nhiều chú chó có thể trông nhà và chơi cùng trẻ em.,chó; gâu gâu; vẫy đuôi; trông nhà,Chó thường kêu như thế nào?
animal_duck_vi_3_5,Con vịt,"Con gì chân có màng xinh, Bơi trên ao nhỏ lung linh. Miệng kêu cạp cạp vui quá, Lạch bạch đi giữa sân đình?",Con vịt,Vịt có chân màng giúp bơi dưới nước dễ hơn.,vịt; ao; chân màng; cạp cạp,Vịt bơi ở đâu?
animal_cow_vi_3_5,Con bò,"Con gì ăn cỏ ngoài đồng, Kêu ò ò thật vang không? Cho ta dòng sữa trắng, Bé đoán được hay không?",Con bò,Bò cho sữa. Sữa giúp cơ thể có thêm dinh dưỡng.,bò; sữa; đồng cỏ; ò ò,Con bò có đặc điểm gì nổi bật?
animal_chicken_vi_3_5,Con gà,"Con gì sáng gáy ò ó, Gọi mặt trời dậy thật to. Có mào đỏ trên đầu nhỏ, Bé đoán xem đó là con gì?",Con gà,Gà trống thường gáy vào buổi sáng.,gà; mào; ò ó o; buổi sáng,Con gà có đặc điểm gì nổi bật?
animal_rabbit_vi_3_5,Con thỏ,"Con gì tai dài thật xinh, Nhảy nhanh trên bãi cỏ xanh. Thích ăn cà rốt màu cam, Bé gọi tên thật nhanh?",Con thỏ,Thỏ có đôi tai dài và thường nhảy rất nhanh.,thỏ; tai dài; cà rốt; nhảy,Con thỏ có đặc điểm gì nổi bật?
animal_frog_vi_3_5,Con ếch,"Con gì ngồi cạnh bờ ao, Kêu ộp ộp dưới mưa rào. Nhảy một cái thật cao, Bé đoán tên thế nào?",Con ếch,Ếch sống gần nơi ẩm ướt và có thể nhảy xa.,ếch; bờ ao; ộp ộp; nhảy,Con ếch có đặc điểm gì nổi bật?
animal_fish_vi_3_5,Con cá,"Con gì không bước trên bờ, Bơi trong nước cả ngày mơ. Có vây, có đuôi xinh xắn, Bé đoán thử bây giờ?",Con cá,Cá sống dưới nước và dùng vây để bơi.,cá; nước; vây; đuôi,Con cá có đặc điểm gì nổi bật?
