id,title,shortVideoScript,imagePrompt,coloringPrompt
animal_sheep_vi_3_5,Con cừu,"Đố bé biết: Con gì mặc áo len dày, kêu be be trên đồng cỏ? 3...2...1... Đáp án là con cừu!","Cute fluffy sheep standing in a green meadow, warm children's book illustration style.","Một chú cừu tròn trịa, dễ thương đứng trên đồng cỏ, nét đơn giản cho trẻ em tô màu."
animal_elephant_vi_3_5,Con voi,Con gì có tai to như quạt và chiếc vòi dài? Đáp án là con voi!,"Adorable baby elephant with big ears and long trunk, friendly children's illustration.","Một chú voi con vui vẻ có tai to và vòi dài, nét rõ ràng cho bé tô màu."
animal_cat_vi_3_5,Con mèo,"Con gì thích ăn cá, kêu meo meo? Đúng rồi, đó là con mèo!","Cute kitten curled up sleeping, soft children's book style.","Một chú mèo con đang nằm cuộn tròn ngủ, nét đơn giản dễ tô màu."
animal_dog_vi_3_5,Con chó,Con gì kêu gâu gâu và hay vẫy đuôi? Đáp án là con chó!,"Happy puppy wagging tail, cute preschool educational illustration.","Một chú chó con vui vẻ đang vẫy đuôi, nét to rõ cho bé tô màu."
animal_duck_vi_3_5,Con vịt,"Con gì bơi dưới ao, kêu cạp cạp? Đó là con vịt!","Cute yellow duckling swimming in a pond, simple cheerful children's illustration.","Một chú vịt con bơi trên ao, có vài bông hoa súng, nét đơn giản."
animal_cow_vi_3_5,Con bò,"Đố bé biết: Con gì ăn cỏ ngoài đồng, ... Đáp án là Con bò!","Cute con bò for preschool educational content, simple children's book illustration.","Một con bò dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_chicken_vi_3_5,Con gà,"Đố bé biết: Con gì sáng gáy ò ó, ... Đáp án là Con gà!","Cute con gà for preschool educational content, simple children's book illustration.","Một con gà dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_rabbit_vi_3_5,Con thỏ,"Đố bé biết: Con gì tai dài thật xinh, ... Đáp án là Con thỏ!","Cute con thỏ for preschool educational content, simple children's book illustration.","Một con thỏ dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_frog_vi_3_5,Con ếch,"Đố bé biết: Con gì ngồi cạnh bờ ao, ... Đáp án là Con ếch!","Cute con ếch for preschool educational content, simple children's book illustration.","Một con ếch dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_fish_vi_3_5,Con cá,"Đố bé biết: Con gì không bước trên bờ, ... Đáp án là Con cá!","Cute con cá for preschool educational content, simple children's book illustration.","Một con cá dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_bird_vi_3_5,Con chim,"Đố bé biết: Con gì có cánh bay cao, ... Đáp án là Con chim!","Cute con chim for preschool educational content, simple children's book illustration.","Một con chim dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_horse_vi_3_5,Con ngựa,"Đố bé biết: Con gì chạy rất là nhanh, ... Đáp án là Con ngựa!","Cute con ngựa for preschool educational content, simple children's book illustration.","Một con ngựa dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_pig_vi_3_5,Con heo,"Đố bé biết: Con gì mũi tròn ủn ỉn, ... Đáp án là Con heo!","Cute con heo for preschool educational content, simple children's book illustration.","Một con heo dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_bee_vi_3_5,Con ong,"Đố bé biết: Con gì chăm chỉ bay quanh, ... Đáp án là Con ong!","Cute con ong for preschool educational content, simple children's book illustration.","Một con ong dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_butterfly_vi_3_5,Con bướm,"Đố bé biết: Con gì cánh mỏng nhiều màu, ... Đáp án là Con bướm!","Cute con bướm for preschool educational content, simple children's book illustration.","Một con bướm dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_turtle_vi_3_5,Con rùa,"Đố bé biết: Con gì mai cứng trên lưng, ... Đáp án là Con rùa!","Cute con rùa for preschool educational content, simple children's book illustration.","Một con rùa dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_monkey_vi_3_5,Con khỉ,"Đố bé biết: Con gì leo trèo rất nhanh, ... Đáp án là Con khỉ!","Cute con khỉ for preschool educational content, simple children's book illustration.","Một con khỉ dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_lion_vi_3_5,Con sư tử,"Đố bé biết: Con gì bờm lớn quanh đầu, ... Đáp án là Con sư tử!","Cute con sư tử for preschool educational content, simple children's book illustration.","Một con sư tử dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_penguin_vi_3_5,Con chim cánh cụt,"Đố bé biết: Con gì mặc áo trắng đen, ... Đáp án là Con chim cánh cụt!","Cute con chim cánh cụt for preschool educational content, simple children's book illustration.","Một con chim cánh cụt dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_snail_vi_3_5,Con ốc sên,"Đố bé biết: Con gì mang nhà trên lưng, ... Đáp án là Con ốc sên!","Cute con ốc sên for preschool educational content, simple children's book illustration.","Một con ốc sên dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
